Date,High,Low,Open,Close,Volume,Adj Close
2015-01-01,382.54998779296875,377.79998779296875,381.29998779296875,379.79998779296875,269753.0,368.0695495605469
2015-01-02,388.5,379.79998779296875,379.79998779296875,382.79998779296875,623981.0,370.97686767578125
2015-01-05,389.6000061035156,382.79998779296875,384.0,385.8999938964844,551576.0,373.9811706542969
2015-01-06,383.3999938964844,369.20001220703125,382.20001220703125,372.70001220703125,519159.0,361.1888732910156
2015-01-07,377.3999938964844,370.0,372.8999938964844,374.6000061035156,397373.0,363.0301818847656
2015-01-08,380.0,368.75,380.0,372.8999938964844,672501.0,361.3826599121094
2015-01-09,376.8999938964844,369.3999938964844,376.0,372.8999938964844,985975.0,361.3826599121094
2015-01-12,378.5,370.6000061035156,373.25,376.79998779296875,344364.0,365.1622619628906
2015-01-13,384.0,370.79998779296875,375.8500061035156,372.20001220703125,715002.0,360.7043151855469
2015-01-14,376.95001220703125,369.0,373.04998779296875,371.6000061035156,404068.0,360.1228332519531
2015-01-15,379.0,369.70001220703125,373.70001220703125,375.8999938964844,648144.0,364.2900085449219
2015-01-16,394.0,376.95001220703125,380.0,387.20001220703125,1387070.0,375.24102783203125
2015-01-19,395.5,389.20001220703125,389.20001220703125,394.5,913385.0,382.3155517578125
2015-01-20,398.8999938964844,390.45001220703125,397.0,393.6000061035156,603286.0,381.4433288574219
2015-01-21,408.54998779296875,390.45001220703125,394.6000061035156,406.95001220703125,1885665.0,394.3809814453125
2015-01-22,409.20001220703125,393.1000061035156,407.0,399.75,785747.0,387.4033508300781
2015-01-23,405.45001220703125,394.0,403.1499938964844,398.8500061035156,709214.0,386.53118896484375
2015-01-27,407.0,393.25,399.0,400.6499938964844,1306898.0,388.27557373046875
2015-01-28,437.79998779296875,404.0,409.3999938964844,433.25,6282139.0,419.86871337890625
2015-01-29,444.0,425.6499938964844,427.79998779296875,441.79998779296875,3488597.0,428.1546325683594
2015-01-30,442.8500061035156,428.75,441.95001220703125,430.6000061035156,970722.0,417.30059814453125
2015-02-02,437.79998779296875,427.3500061035156,430.0,433.20001220703125,1106879.0,419.8202819824219
2015-02-03,448.3999938964844,430.54998779296875,435.8999938964844,432.29998779296875,2245302.0,418.9480285644531
2015-02-04,443.95001220703125,427.0,434.5,430.04998779296875,1392064.0,416.76751708984375
2015-02-05,431.8999938964844,413.3500061035156,431.8999938964844,417.79998779296875,1040089.0,404.89593505859375
2015-02-06,427.0,409.1000061035156,425.8999938964844,416.70001220703125,1116247.0,403.82989501953125
